UserId,Condition,Scenario,Direction,TimeStamp,Resistance,DtInMs,ConWPosX,ConWPosY,ConWPosZ,ConPosX,ConPosY,ConPosZ,ConRotX,ConRotY,ConRotZ,IsHit,DotId,HitPosX,HitPosY,HitPosZ,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,EyeOriginX,EyeOriginY,EyeOriginZ,EyeDirectionX,EyeDirectionY,EyeDirectionZ,EyeHitPosX,EyeHitPosY,label
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:59:07.78,63687.41,35.47,1.531417,0.8699456,-0.9238993,-0.6673952,0.8699456,-0.1149547,270.6714,302.9779,155.835,TRUE,6,1.531879,1.001913,-0.9237537,1.870219,1.097919,-1.008749,1.510107,280.1658,354.8419,1.906379,1.101808,-1.02736,-0.9605591,-0.2165094,0.1744667,0.6195459,0.4593118,2
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:59:08.34,71568.52,36.03,1.554119,0.8703214,-0.9371314,-0.6448264,0.8703214,-0.1284119,270.6543,305.7035,158.0305,TRUE,5,1.553888,1.001911,-0.9368264,1.870339,1.097818,-1.010434,1.762536,278.9314,355.6082,1.906869,1.101859,-1.02897,-0.9592885,-0.2255019,0.1699814,0.6139956,0.4314205,2
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:59:08.78,75364.52,36.47,1.568789,0.8709083,-0.9549421,-0.630334,0.8709083,-0.1463675,270.7677,318.8415,149.1216,TRUE,4,1.569135,1.002126,-0.9546719,1.870805,1.098123,-1.012477,1.802715,278.1677,355.7775,1.907086,1.10191,-1.030137,-0.9622175,-0.2350529,0.1373775,0.5992386,0.407265,2
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:59:09.33,76376.55,37.01,1.580358,0.8712828,-0.9753436,-0.6189679,0.8712828,-0.1668831,270.7947,320.5676,151.6839,TRUE,3,1.580561,1.00201,-0.9749774,1.87179,1.098565,-1.01446,1.788709,276.659,355.8977,1.909219,1.102211,-1.029028,-0.962783,-0.2589137,0.0774628,0.5769627,0.3492044,2
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:59:09.77,74648.3,37.46,1.590049,0.8715582,-0.9966855,-0.6094902,0.8715582,-0.1883203,270.897,325.7544,150.6427,TRUE,2,1.590117,1.002687,-0.9964253,1.871746,1.098277,-1.015944,2.117117,274.6985,355.4977,1.908456,1.100746,-1.006642,-0.963523,-0.2557361,0.07879476,0.5959718,0.3493064,2
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:59:10.35,71014.32,38.03,1.59745,0.8719432,-1.020434,-0.6023254,0.8719432,-0.212141,270.8204,317.3752,163.4858,TRUE,1,1.597314,1.001097,-1.019619,1.869639,1.097838,-1.022088,2.820945,271.6924,356.9568,1.90652,1.100685,-1.006333,-0.9586368,-0.2844867,-0.008507095,0.5689797,0.2927379,2
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:59:10.72,68235.84,38.41,1.604246,0.8720545,-1.045375,-0.5957776,0.8720545,-0.237148,270.8132,312.2138,173.031,TRUE,0,1.603591,1.001901,-1.044451,1.868681,1.097485,-1.028553,3.190504,269.4963,357.9956,1.907399,1.101628,-1.038124,-0.9563199,-0.2741567,-0.1013941,0.5148074,0.3140742,2
2,VRKinArm,Circle,Clockwise,2022-12-20_11:35:34.84,227988.45,2.16,1.604882,0.8718429,-1.051954,-0.5944532,0.8718429,-0.2608387,270.6813,317.7737,171.1081,TRUE,0,1.60577,1.001877,-1.052435,1.850513,1.138351,-1.04892,4.099028,269.5697,1.49381,1.895062,1.149664,-1.057955,-0.8607851,-0.5055118,-0.05904898,0.5141916,0.1907306,2
2,VRKinArm,Circle,Clockwise,2022-12-20_11:35:36.26,204063.13,3.58,1.590759,0.8713986,-1.030167,-0.6122868,0.8713986,-0.2419688,270.8843,325.4098,157.8833,TRUE,1,1.591182,1.002076,-1.030647,1.850101,1.13748,-1.043937,4.720417,270.0601,0.8671566,1.892994,1.149349,-1.056854,-0.8784895,-0.4766732,0.0316688,0.537335,0.224427,2
2,VRKinArm,Circle,Clockwise,2022-12-20_11:35:37.26,202672.86,4.58,1.585342,0.871208,-1.007524,-0.6217134,0.871208,-0.22068,270.8147,314.9546,163.7654,TRUE,2,1.585511,1.002978,-1.007822,1.848835,1.137354,-1.042386,4.867661,270.6226,0.2998468,1.893352,1.149261,-1.054062,-0.8810633,-0.465435,0.0841086,0.5534899,0.2348078,2
2,VRKinArm,Circle,Clockwise,2022-12-20_11:35:38.24,197780.09,5.56,1.581717,0.8711485,-0.9889821,-0.6286354,0.8711485,-0.2031012,270.9018,321.7935,153.5745,TRUE,3,1.581996,1.002808,-0.989278,1.848692,1.136849,-1.034414,5.209736,273.2644,359.1669,1.893013,1.149502,-1.045976,-0.8875683,-0.4410065,0.1331636,0.5749658,0.2628057,2
2,VRKinArm,Circle,Clockwise,2022-12-20_11:35:38.92,189853.27,6.25,1.573018,0.8706042,-0.9677229,-0.6410389,0.8706042,-0.1837679,270.9685,331.1231,139.7518,TRUE,4,1.573908,1.002629,-0.9682931,1.8479,1.137041,-1.036076,5.186324,273.678,358.899,1.891888,1.149697,-1.04702,-0.8863766,-0.4304277,0.1704825,0.5855727,0.2756077,2
2,VRKinArm,Circle,Clockwise,2022-12-20_11:35:39.65,172453.23,6.97,1.560826,0.8703474,-0.9464686,-0.6568773,0.8703474,-0.165072,270.8655,335.1485,131.1141,TRUE,5,1.561952,1.002975,-0.9467245,1.849774,1.136797,-1.028313,5.229008,275.743,358.1659,1.892703,1.149912,-1.043551,-0.8908503,-0.3953364,0.2237498,0.6091921,0.3186055,2
2,VRKinArm,Circle,Clockwise,2022-12-20_11:35:40.62,132470.39,7.95,1.539826,0.8699445,-0.9344888,-0.6796993,0.8699445,-0.1570919,270.7028,323.3282,138.9808,TRUE,6,1.540885,1.0022,-0.9349093,1.849552,1.136842,-1.020537,5.282371,278.9277,356.4293,1.891509,1.150165,-1.037041,-0.8908315,-0.3837915,0.2430902,0.6229483,0.3365532,2
2,VRKinArm,Circle,Clockwise,2022-12-20_11:35:41.27,125333.48,8.59,1.522826,0.8695539,-0.9197595,-0.6990848,0.8695539,-0.1456835,270.6268,323.1011,135.3727,TRUE,7,1.523615,1.003584,-0.9200394,1.84792,1.137102,-1.019984,5.190904,279.2455,356.1294,1.891175,1.150587,-1.03521,-0.9019429,-0.3551987,0.2455929,0.6317859,0.3877662,2
2,VRKinArm,Circle,Clockwise,2022-12-20_11:35:42.13,113824.4,9.45,1.50033,0.8690598,-0.904188,-0.7240274,0.8690598,-0.1344417,270.5941,321.6681,132.1338,TRUE,8,1.502293,1.00261,-0.9048594,1.844406,1.137094,-1.022367,5.24724,279.0522,356.1786,1.887618,1.150767,-1.038205,-0.9058964,-0.3407958,0.2513926,0.6350492,0.4207923,2
2,VRKinArm,Circle,Clockwise,2022-12-20_11:35:42.90,105223.98,10.23,1.477997,0.8689616,-0.9006796,-0.7466271,0.8689616,-0.1350343,270.6398,313.2624,137.9517,TRUE,9,1.479699,1.002125,-0.9011942,1.841097,1.137386,-1.019443,5.319953,278.6132,356.1747,1.885096,1.15117,-1.03401,-0.9076456,-0.3274205,0.2626208,0.6466945,0.4521143,2
2,VRKinArm,Circle,Clockwise,2022-12-20_11:35:43.73,94105.14,11.06,1.45407,0.8687894,-0.8989019,-0.7704805,0.8687894,-0.1376176,270.6489,312.7489,135.9529,TRUE,10,1.455585,1.00051,-0.8991426,1.83545,1.137064,-1.020045,5.365746,278.0175,356.3434,1.87894,1.15117,-1.035144,-0.9157883,-0.3125657,0.2522404,0.6463516,0.4973131,3
2,VRKinArm,Circle,Clockwise,2022-12-20_11:35:44.54,88363.93,11.87,1.431499,0.8682667,-0.900733,-0.792347,0.8682667,-0.1435045,270.6531,307.8976,139.4884,TRUE,11,1.432874,1.002697,-0.901009,1.826781,1.136362,-1.016969,5.597104,277.6086,356.7385,1.870466,1.150409,-1.031975,-0.9202552,-0.3062676,0.243541,0.6470397,0.5237751,3
2,VRKinArm,Circle,Clockwise,2022-12-20_11:35:45.52,83689.68,12.85,1.408636,0.8681438,-0.9069403,-0.8137084,0.8681438,-0.1537483,270.8499,301.9103,145.071,TRUE,12,1.410075,1.00296,-0.9074628,1.824953,1.13564,-1.008312,4.793847,276.3316,357.2752,1.862665,1.150794,-1.032729,-0.9335821,-0.2946426,0.2039362,0.6340615,0.5745459,3
2,VRKinArm,Circle,Clockwise,2022-12-20_11:35:47.08,77122.58,14.4,1.386104,0.8690653,-0.9189891,-0.8336873,0.8690653,-0.169677,270.8856,285.7632,162.2514,TRUE,13,1.387349,1.001501,-0.9192579,1.823546,1.135498,-1.011579,4.496,274.2797,359.2429,1.86673,1.148951,-1.026191,-0.9483487,-0.2812217,0.1467756,0.6178845,0.60474,3
2,VRKinArm,Circle,Clockwise,2022-12-20_11:35:48.84,66770.63,16.17,1.362608,0.8678353,-0.9346939,-0.8539515,0.8678353,-0.1893758,270.8541,309.8535,141.1421,TRUE,14,1.363556,1.001735,-0.93526,1.816435,1.136158,-1.025319,4.003034,272.8944,0.943503,1.859734,1.149374,-1.041035,-0.9496496,-0.278229,0.1440174,0.6051778,0.6268564,3
2,VRKinArm,Circle,Clockwise,2022-12-20_11:35:50.63,60823.47,17.96,1.344945,0.8680027,-0.949555,-0.8686323,0.8680027,-0.207189,271.0187,301.3147,152.9847,TRUE,15,1.346143,1.001893,-0.9503788,1.807807,1.13828,-1.038743,3.589144,270.8737,1.915857,1.853167,1.150299,-1.049778,-0.9484743,-0.287811,0.1324021,0.5912703,0.6153215,3
2,VRKinArm,Circle,Clockwise,2022-12-20_11:35:51.84,60651.85,19.16,1.333555,0.8669102,-0.9612907,-0.8777096,0.8669102,-0.2207927,270.8586,304.6877,152.9668,TRUE,16,1.334635,1.001271,-0.9617767,1.800356,1.139869,-1.049061,3.370285,269.1019,2.270488,1.846265,1.151299,-1.058782,-0.9485,-0.2892733,0.1290148,0.5824264,0.6272508,3
2,VRKinArm,Circle,Clockwise,2022-12-20_11:35:52.87,61459.93,20.2,1.320044,0.8658183,-0.9770139,-0.8881512,0.8658183,-0.2387021,270.9052,310.5492,151.3163,TRUE,17,1.320563,1.002415,-0.9767469,1.795209,1.141057,-1.053398,3.040119,267.5914,1.56019,1.843092,1.152188,-1.059134,-0.9509486,-0.2940091,0.09614002,0.5677688,0.6264768,3
